brand,model,imageUrl
Cooper,CS5 Ultra Touring,https://www.cooper-tires.com/content/dam/cooper/product-images/cs5-ultra-touring/cs5-ultra-touring-hero.jpg
Cooper,CS5 Grand Touring,https://www.cooper-tires.com/content/dam/cooper/product-images/cs5-grand-touring/cs5-grand-touring-hero.jpg
Cooper,Discoverer AT3 4S,https://www.cooper-tires.com/content/dam/cooper/product-images/discoverer-at3-4s/discoverer-at3-4s-hero.jpg
Cooper,Discoverer HTP,https://www.cooper-tires.com/content/dam/cooper/product-images/discoverer-htp/discoverer-htp-hero.jpg
Cooper,Evolution Tour,https://www.cooper-tires.com/content/dam/cooper/product-images/evolution-tour/evolution-tour-hero.jpg
Vredestein,Pinza HT,https://cdn.shopify.com/s/files/1/0659/0408/2992/files/T0014999_103f41b4-0e23-4e02-b754-9c1b1c8d3a72.png?v=1777750168
Vredestein,Pinza At,https://cdn.shopify.com/s/files/1/0659/0408/2992/files/vredesteinpinzaat___media_library_original_360_360_b57c03ae-ff12-4f16-bb04-0bc50760dcf5.jpg?v=1777745747
Vredestein,Hitrac All Season,https://cdn.shopify.com/s/files/1/0659/0408/2992/files/vredesteinhitrac___media_library_original_300_300_19d90959-de90-4d88-82f1-a93f8da89e0c.jpg?v=1777747730
Vredestein,Hypertrac All Season,https://cdn.shopify.com/s/files/1/0659/0408/2992/files/vredesteinhypertrac___media_library_original_300_300_b2b3c949-9c98-49e0-bfb3-0fe042c0e065.jpg?v=1777745689
Vredestein,Sprint Classic,https://cdn.shopify.com/s/files/1/0659/0408/2992/files/Vredestein_Sprint_Classic.jpg?v=1777743865
Vredestein,Comtrac Cargo As,https://cdn.shopify.com/s/files/1/0659/0408/2992/files/Vredestein_ComtracCargoAS_BW_LeftAngle_1465f0f7-fa0c-483c-89f5-76b9e7ae0e90.webp?v=1777745685
Ovation,UN203,https://cdn.shopify.com/s/files/1/0659/0408/2992/files/Ovation_UN203_8277b694-1839-4af2-bc8f-a5005c00ea7d.jpg?v=1777743881
Ovation,Vi-286AT,https://cdn.shopify.com/s/files/1/0659/0408/2992/files/ovationvi286at___media_library_original_500_500_ff444489-2705-4e8a-bae1-42f31048e149.jpg?v=1777747587
